Player,Tm,PTS,+/-,PIM,EVG,PPG,SHG,EVA,PPA,SHA,S,S%
Ryan Dzingel,SJS,1,-2,0,1,0,0,0,0,0,9,11.1
Cody Eakin,BUF,12,-15,22,3,1,0,6,1,1,74,5.4
Jordan Eberle,SEA,44,-28,14,17,4,0,18,5,0,164,12.8
Alexander Edler,LAK,19,18,34,3,0,0,15,0,1,54,5.6
Joel Edmundson,MTL,6,-1,35,3,0,0,3,0,0,32,9.4
Nikolaj Ehlers,WPG,55,18,20,24,4,0,22,5,0,245,11.4
Jack Eichel,VEG,25,3,10,11,3,0,6,5,0,133,10.5
Aaron Ekblad,FLA,57,38,26,12,3,0,22,17,3,180,8.3
Mattias Ekholm,NSH,31,14,44,6,0,0,20,4,1,145,4.1
William Eklund,SJS,4,-3,2,0,0,0,1,3,0,8,0
Oliver Ekman-Larsson,VAN,29,5,52,2,3,0,17,7,0,168,3
Remi Elie,TBL,0,-2,0,0,0,0,0,0,0,2,0
Lars Eller,WSH,31,-4,40,13,0,0,16,2,0,116,11.2
Ryan Ellis,PHI,5,2,0,1,0,0,2,2,0,6,16.7
Turner Elson,DET,0,-1,0,0,0,0,0,0,0,1,0
Pierre Engvall,TOR,35,13,30,12,1,2,17,2,1,154,9.7
Tyler Ennis,OTT,24,-6,16,7,1,0,13,3,0,89,9
Mackenzie Entwistle,CHI,12,-16,23,4,0,1,7,0,0,34,14.7
Loui Eriksson,ARI,19,-18,6,2,0,1,15,1,0,81,3.7
Joel Eriksson Ek,MIN,49,16,28,14,12,0,18,5,0,223,11.7
Adam Erne,DET,19,-22,34,6,0,0,13,0,0,108,5.6
Jake Evans,MTL,29,-5,22,13,0,0,15,0,1,124,10.5
Michael Eyssimont,WPG,0,0,0,0,0,0,0,0,0,1,0
Robby Fabbri,DET,30,-23,35,11,6,0,11,2,0,123,13.8
Dante Fabbro,NSH,24,13,24,3,0,0,21,0,0,88,3.4
Samuel Fagemo,LAK,0,-2,0,0,0,0,0,0,0,5,0
Radek Faksa,DAL,19,-20,52,3,1,1,13,0,1,89,5.6
Joel Farabee,PHI,34,-11,50,15,1,1,15,2,0,119,14.3
Hudson Fasching,ARI,0,-3,0,0,0,0,0,0,0,3,0
Jesper Fast,CAR,34,24,4,13,1,0,18,1,1,97,14.4
Justin Faulk,STL,47,41,43,15,1,0,25,6,0,167,9.6
Martin Fehervary,WSH,17,15,26,7,0,1,8,0,1,96,8.3
Mario Ferraro,SJS,14,-5,16,2,0,0,12,0,0,49,4.1
Kevin Fiala,MIN,85,23,52,27,5,1,40,12,0,262,12.6
Christian Fischer,ARI,10,-15,14,4,1,0,5,0,0,76,6.6
Casey Fitzgerald,BUF,6,-19,36,0,0,0,6,0,0,41,0
Trey Fix-Wolansky,CBJ,2,-1,0,1,0,0,1,0,0,5,20
Cale Fleury,SEA,0,-3,0,0,0,0,0,0,0,4,0
Haydn Fleury,SEA,4,0,13,2,0,0,2,0,0,52,3.8
Warren Foegele,EDM,26,-9,24,10,2,0,13,1,0,142,8.5
Steven Fogarty,BOS,0,-2,2,0,0,0,0,0,0,2,0
Marcus Foligno,MIN,42,25,112,18,5,0,17,2,0,98,23.5
Nick Foligno,BOS,13,-13,61,2,0,0,10,1,0,99,2
Callan Foote,TBL,9,6,29,2,0,0,7,0,0,49,4.1
Nolan Foote,NJD,4,3,0,3,0,0,1,0,0,10,30
Derek Forbort,BOS,14,2,48,4,0,0,9,0,1,64,6.3
Alex Formenton,OTT,32,-13,59,13,0,5,13,0,1,162,11.1
Filip Forsberg,NSH,84,12,22,32,10,0,25,17,0,226,18.6
Gustav Forsling,FLA,37,41,18,10,0,0,27,0,0,145,6.9
Gabriel Fortier,TBL,1,-2,4,1,0,0,0,0,0,14,7.1
Liam Foudy,CBJ,0,-1,0,0,0,0,0,0,0,1,0
Cam Fowler,ANA,42,-9,14,3,6,0,21,12,0,124,7.3
Adam Fox,NYR,74,18,26,10,0,1,29,33,1,158,7
Trent Frederic,BOS,18,10,57,8,0,0,10,0,0,100,8
Mark Friedman,PIT,5,1,23,1,0,0,4,0,0,27,3.7
Martin Frk,LAK,2,-4,2,0,2,0,0,0,0,15,13.3
Jesper Froden,BOS,1,4,2,1,0,0,0,0,0,10,10
Morgan Frost,PHI,16,-11,14,4,1,0,10,1,0,85,5.9
Kurtis Gabriel,CHI,0,0,0,0,0,0,0,0,0,0,
Jonah Gadjovich,SJS,3,-9,74,1,0,0,2,0,0,36,2.8
Sam Gagner,DET,31,-4,32,12,0,1,17,1,0,132,9.8
Alex Galchenyuk,ARI,21,-11,32,6,0,0,14,1,0,89,6.7
Brendan Gallagher,MTL,24,-7,69,2,5,0,15,2,0,142,4.9
Jakub Galvas,CHI,0,0,0,0,0,0,0,0,0,8,0
Dylan Gambrell,OTT,7,2,12,2,0,1,4,0,0,58,5.2
Rhett Gardner,DAL,0,-1,0,0,0,0,0,0,0,0,
Conor Garland,VAN,52,18,36,18,1,0,31,2,0,203,9.4
Adam Gaudette,TOT,14,-9,17,3,2,0,9,0,0,94,5.3
Adam Gaudette,OTT,12,-6,13,3,1,0,8,0,0,84,4.8
Adam Gaudette,CHI,2,-3,4,0,1,0,1,0,0,10,10
Frederick Gaudreau,MIN,44,12,8,13,1,0,26,2,2,132,10.6
Johnny Gaudreau,CGY,115,64,26,34,6,0,56,19,0,262,15.3
Brendan Gaunce,CBJ,7,2,12,5,0,0,2,0,0,44,11.4
Frederik Gauthier,NJD,0,-1,0,0,0,0,0,0,0,4,0
Julien Gauthier,NYR,7,-9,8,3,0,0,4,0,0,69,4.3
Vladislav Gavrikov,CBJ,33,-3,68,5,0,0,27,0,1,108,4.6
Glenn Gawdin,CGY,0,0,2,0,0,0,0,0,0,3,0
Morgan Geekie,SEA,22,-16,18,7,0,0,11,4,0,97,7.2
Mason Geertsen,NJD,0,-6,77,0,0,0,0,0,0,12,0
